GEOID20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,STATEFP,STATE
13177,33163,7755,869,1052,478,251,22758,13,GA
13179,65256,31146,6269,2385,827,625,24004,13,GA
13181,7690,2212,76,50,124,32,5196,13,GA
13183,16168,4734,1779,379,327,175,8774,13,GA
13185,118251,46758,7071,2732,1469,915,59306,13,GA
13187,33488,685,1747,460,1022,333,29241,13,GA
13189,21632,9045,711,160,217,82,11417,13,GA
13191,10975,3400,184,90,167,74,7060,13,GA
13193,12082,7296,450,176,44,38,4078,13,GA
13195,30120,3196,1917,634,573,251,23549,13,GA
13197,7498,2223,518,108,137,26,4486,13,GA
13199,20613,7547,444,130,293,115,12084,13,GA
13201,6000,1831,124,36,51,9,3949,13,GA
13205,21755,10394,884,151,137,83,10106,13,GA
13207,27957,6444,648,328,408,175,19954,13,GA
13209,8610,2224,552,44,87,38,5665,13,GA
13211,20097,4339,671,168,310,122,14487,13,GA
13213,39973,556,5863,193,963,234,32164,13,GA
13215,206922,102212,13886,7824,2172,1745,79083,13,GA
13217,112483,55901,6109,1468,1241,1018,46746,13,GA
13219,41799,2280,2265,2449,530,389,33886,13,GA
13221,14825,2468,841,199,311,103,10903,13,GA
13223,168661,41296,11073,2937,2934,1977,108444,13,GA
13225,27981,12645,2421,312,341,143,12119,13,GA
13227,33216,512,1154,275,884,269,30122,13,GA
13229,19716,1801,979,146,264,123,16403,13,GA
13231,18889,1613,336,141,351,135,16313,13,GA
13233,42853,5816,5439,357,760,320,30161,13,GA
13235,9855,3250,304,118,82,79,6022,13,GA
13237,22047,5701,1477,165,254,134,14316,13,GA
13239,2235,965,20,14,37,9,1190,13,GA
13241,16883,210,1430,97,411,110,14625,13,GA
13243,6425,3947,118,29,49,32,2250,13,GA
13245,206607,119970,9307,5420,2040,1473,68397,13,GA
13247,93570,57204,8435,1844,763,824,24500,13,GA
13249,4547,933,156,39,47,15,3357,13,GA
13251,14067,5527,229,85,133,75,8018,13,GA
13253,9147,3093,192,77,119,49,5617,13,GA
13255,67306,24522,3356,839,1008,476,37105,13,GA
